transaction_id,user_id,merchant_id,amount,timestamp,location,payment_method,device_id,is_fraud
TXN_006252,USER_0125,MERCH_007,469.06,2025-01-13 00:47:09,Austin,net_banking,DEV_0373,0
TXN_004684,USER_0068,MERCH_032,43.93,2025-01-12 01:21:11,San Antonio,net_banking,DEV_0321,0
TXN_001731,USER_0491,MERCH_014,398.43,2025-01-13 05:53:21,Chicago,UPI,DEV_0257,0
TXN_004742,USER_0405,MERCH_085,60.33,2025-03-29 03:13:41,Austin,wallet,DEV_0356,0
TXN_004521,USER_0474,MERCH_093,45.33,2025-01-26 13:28:55,Chicago,debit_card,DEV_0007,0
TXN_006340,USER_0282,MERCH_076,233.33,2025-02-02 22:16:55,Houston,net_banking,DEV_0057,0
TXN_000576,USER_0048,MERCH_043,70.04,2025-02-14 18:11:45,New York,debit_card,DEV_0294,0
TXN_005202,USER_0394,MERCH_079,430.71,2025-01-06 05:17:20,San Diego,net_banking,DEV_0356,0
TXN_006363,USER_0296,MERCH_070,450.86,2025-01-12 14:29:49,San Antonio,UPI,DEV_0120,0
TXN_000439,USER_0337,MERCH_005,97.88,2025-03-24 13:38:23,Philadelphia,credit_card,DEV_0107,0
TXN_002750,USER_0365,MERCH_057,226.84,2025-03-13 18:22:40,San Antonio,wallet,DEV_0385,0
TXN_007487,USER_0344,MERCH_005,491.29,2025-03-07 04:08:26,Dallas,UPI,DEV_0004,0
TXN_005272,USER_0035,MERCH_077,131.99,2025-03-29 12:14:49,San Antonio,debit_card,DEV_0400,0
TXN_005653,USER_0218,MERCH_079,171.57,2025-01-04 05:46:50,Austin,debit_card,DEV_0364,0
TXN_003999,USER_0021,MERCH_058,440.37,2025-02-24 08:05:53,Los Angeles,credit_card,DEV_0094,0
TXN_006033,USER_0494,MERCH_070,55.39,2025-02-06 09:18:23,Dallas,credit_card,DEV_0198,0
TXN_000582,USER_0411,MERCH_070,399.47,2025-02-07 03:17:06,Philadelphia,net_banking,DEV_0279,0
TXN_009930,USER_0121,MERCH_085,539.51,2025-03-09 13:39:53,Phoenix,credit_card,DEV_0083,1
TXN_007051,USER_0258,MERCH_022,455.57,2025-03-30 01:18:40,Los Angeles,UPI,DEV_0062,0
TXN_008158,USER_0075,MERCH_013,371.99,2025-02-25 05:43:19,Philadelphia,net_banking,DEV_0295,0
TXN_009896,USER_0041,MERCH_039,1792.6,2025-03-02 22:02:19,Houston,UPI,DEV_0378,1
TXN_002249,USER_0183,MERCH_054,18.58,2025-02-01 12:26:55,Phoenix,credit_card,DEV_0306,0
TXN_004640,USER_0295,MERCH_095,10.32,2025-02-10 16:34:41,Austin,net_banking,DEV_0291,0
TXN_009485,USER_0177,MERCH_079,93.0,2025-01-31 01:15:08,San Antonio,credit_card,DEV_0044,0
TXN_004947,USER_0278,MERCH_029,248.35,2025-02-28 13:54:38,Houston,net_banking,DEV_0374,0
TXN_009920,USER_0098,MERCH_073,2547.46,2025-03-19 00:04:27,Houston,wallet,DEV_0173,1
TXN_001963,USER_0148,MERCH_015,485.04,2025-02-18 10:35:03,Chicago,net_banking,DEV_0349,0
TXN_008243,USER_0325,MERCH_046,403.18,2025-01-28 05:45:39,San Antonio,credit_card,DEV_0201,0
TXN_006590,USER_0466,MERCH_036,287.09,2025-01-26 16:25:50,Austin,debit_card,DEV_0018,0
TXN_008847,USER_0134,MERCH_040,140.27,2025-02-28 04:17:31,New York,UPI,DEV_0115,0
TXN_000321,USER_0321,MERCH_039,311.07,2025-01-10 01:42:14,Dallas,debit_card,DEV_0304,0
TXN_002678,USER_0254,MERCH_019,458.76,2025-03-09 11:19:17,Phoenix,debit_card,DEV_0387,0
TXN_004625,USER_0068,MERCH_001,397.86,2025-02-12 09:32:22,Phoenix,credit_card,DEV_0328,0
TXN_004949,USER_0383,MERCH_019,391.94,2025-03-10 15:18:20,Austin,credit_card,DEV_0339,0
TXN_008328,USER_0007,MERCH_020,260.34,2025-01-31 01:49:08,Austin,credit_card,DEV_0242,0
TXN_003337,USER_0341,MERCH_038,326.08,2025-03-07 21:03:43,Chicago,net_banking,DEV_0087,0
TXN_005589,USER_0294,MERCH_019,426.22,2025-02-24 09:29:14,New York,wallet,DEV_0058,0
TXN_000251,USER_0029,MERCH_046,258.6,2025-01-31 03:18:09,San Diego,net_banking,DEV_0020,0
TXN_003973,USER_0282,MERCH_011,270.29,2025-02-15 00:15:52,Houston,credit_card,DEV_0343,0
TXN_006630,USER_0054,MERCH_017,310.03,2025-01-19 17:11:12,Phoenix,credit_card,DEV_0380,0
